YEAR_ID,MONTH_ID,SEQ,BORROWER_COUNT,CUTOFF_DATE,BORROWER_CODE_NAME,JOINT,LENDING UNIT,LG,Major Industry,Account/Loan Type,Govt Priv,Customer Size,Development Lending Program,Location,Region,Region Full,Account Class,Interest Rate,Interest Type,Type of Facility,Collateral Type,Collateral Type Description,Source,Loan Term,No. of Days-Loan Term,Past Due Date,Loan Status,Area Code,  Sum of Sum of Approved Amount  ,  Sum of Sum of Collateral Amount  ,  Sum of Sum of Release Amount  ,  Sum of Sum of Booked Reserves  ,  Sum of Sum of Loan Portfolio ,  NPA ,Month Name,MONTH_YEAR,Interest Rate Range,Longitude,Latitude,Location Proper,CODE_NAME,AO ID,AO NAME,SURVEY_ID
2019,12,1,1,12/31/2019,BORROWER_1,BORROWER_1-2019-12,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Private,Small,MSME CENTER SEED,Metro Manila,National Capital Region,National Capital Region (NCR),CURRENT,10,Variable,REVOLVING CREDIT LINE,Unsecured,NO COLLATERAL,DBP,Short Term,119,,CUR,PA,49000000,0,7000000,0,7000000,0,DEC,19-Dec,10.00% - 11.99%,120.9772,14.5958,Metro Manila,1,105,"ENGRACIA, MARIE FAITH B.",58
2019,12,1,1,12/31/2019,BORROWER_100,BORROWER_100-2019-12,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Private,Micro,No Program,Isabela,Cagayan Valley,Region II (Cagayan Valley),LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,444196.54,444196.54,444196.54,444196.54,444196.54,444196.54,DEC,19-Dec,15.00% - 19.99%,121.8894,17.1489,Isabela,100,134,"DY, RYAN JACK C. (REMEDIAL AO)",97
2019,12,1,1,12/31/2019,BORROWER_1002,BORROWER_1002-2019-12,BACOLOD LENDING CENTER,VLG,CONSTRUCTION,SME Loans - Medium,Private,Medium,Infrastructure Contractor Support Program,Negros Occidental,Western Visayas,Region VI  (Western Visayas),CURRENT,6.5,Variable,REVOLVING CREDIT LINE,Secured,MACHINERY & EQUIPMENT,DBP,Short Term,177,,CUR,PA,78000000,13136000,9000000,108047.49,9000000,0,DEC,19-Dec,5.00% - 7.99%,122.82,9.98,Negros Occidental,1002,261,"SUBEBE, PINKY L.",25
2019,12,1,1,12/31/2019,BORROWER_1003,BORROWER_1003-2019-12,ILOILO LENDING CENTER,VLG,EDUCATION ,Loans to Private Corp - Non Financial,Private,Large,RESPONSE - ESKWELA,Iloilo,Western Visayas,Region VI  (Western Visayas),SPECIALLY MENTIONED,6,Fixed,TERM LOAN,Secured,MACHINERY & EQUIPMENT,DBP,Long Term,3287,,CUR,PA,100000000,140223797,100000000,0,100000000,0,DEC,19-Dec,5.00% - 7.99%,122.57,10.72,Iloilo,1003,279,"BORDON, RANDY V.",35
2019,12,1,1,12/31/2019,BORROWER_1004,BORROWER_1004-2019-12,MIDDLE MARKET II DEPT.,SMERMMLG,CONSTRUCTION,Loans to Private Corp - Non Financial,Private,Large,No Program,Rizal,Calabarzon,Region IV-A  (CALABARZON),CURRENT,5.25,Variable,REVOLVING CREDIT LINE,Unsecured,NO COLLATERAL,DBP,Short Term,90,,CUR,PA,1475000000,175000000,132000000,0,132000000,0,DEC,19-Dec,5.00% - 7.99%,121.1763,14.5842,Rizal,1004,,,
2019,12,1,1,12/31/2019,BORROWER_1006,BORROWER_1006-2019-12,SME (NCR) DEPARTMENT,SMERMMLG,EDUCATION ,SME Loans - Small,Private,Small," DBP EDUCATION Sector Support for Knowledge, Wisdom and Empowerment through Lending Assistance (ESKWELA) Progr",Metro Manila,National Capital Region,National Capital Region (NCR),CURRENT,6.34,Variable,TERM LOAN,Unsecured,NO COLLATERAL,DBP,Long Term,2800,,CUR,PA,2000000,0,1978493.13,88825.81,1376343.05,0,DEC,19-Dec,5.00% - 7.99%,120.9772,14.5958,Metro Manila,1006,108,"PEÑA-TUY, MARIEL TESSARIE G.",80
2019,12,1,1,12/31/2019,BORROWER_1007,BORROWER_1007-2019-12,TAGBILARAN LENDING CENTER,VLG,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,SME Loans - Small,Private,Small,MSME CENTER SEED,Bohol,Central Visayas,Region VII  (Central Visayas),CURRENT,5,Fixed,REVOLVING CREDIT LINE,Secured,REAL ESTATE,DBP,Long Term,90,,CUR,PA,18554178.07,143441000,17740550.45,101376.2,9756085.65,0,DEC,19-Dec,5.00% - 7.99%,123.85,9.65,Bohol,1007,234,"SALADA, CHRISTINE M.",109
2019,12,1,1,12/31/2019,BORROWER_1009,BORROWER_1009-2019-12,ILOILO LENDING CENTER,VLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Private,Micro,ISSEP II,Iloilo,Western Visayas,Region VI  (Western Visayas),CURRENT,6.5,Fixed,TERM LOAN,Secured,REAL ESTATE,JICA,Long Term,178,,CUR,PA,13700000,37475000,6570000,182040.65,6570000,0,DEC,19-Dec,5.00% - 7.99%,122.57,10.72,Iloilo,1009,280,"GABRILLO, JULIE ANN P.",146
2019,12,1,1,12/31/2019,BORROWER_101,BORROWER_101-2019-12,CATBALOGAN LENDING CENTER,VLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,Microfinance Loans,Private,Micro,DBP RESPONSE-MSME Recovery,Northern Samar,Eastern Visayas,Region VIII  (Eastern Visayas),CURRENT,7,Variable,REVOLVING CREDIT LINE,Unsecured,NO COLLATERAL,DBP,Short Term,248,,CUR,PA,1100000,0,900000,0,900000,0,DEC,19-Dec,5.00% - 7.99%,124.6328,12.4994,Northern Samar,101,249,"MEDINA-CONDES, MELISSA H.",120
2019,12,1,1,12/31/2019,BORROWER_1010,BORROWER_1010-2019-12,MALOLOS LENDING CENTER,NCLLG,MANUFACTURING,Loans to Private Corp - Non Financial,Private,Large,No Program,Metro Manila,National Capital Region,National Capital Region (NCR),SPECIALLY MENTIONED,6.75,Variable,REVOLVING CREDIT LINE,Secured,MACHINERY & EQUIPMENT,DBP,Short Term,90,,CUR,PA,400000000,154332000,100000000,1712897.73,100000000,0,DEC,19-Dec,5.00% - 7.99%,120.9772,14.5958,Metro Manila,1010,160,"PUSUNG, DIANA MICHELLE P.",93
